"Air Hammer, 60lb",,42.5,,42.5,Ingersol Rand,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=air+hammer+60lb+&oq=air+hammer+60lb+&gs_l=psy-ab.3...52249.64029.0.64716.10.10.0.0.0.0.113.756.9j1.10.0....0...1.1.64.psy-ab..0.0.0.fhQajQWK-Fo&safe=active&ssui=on#imgrc=O6oq8UIeAuBQpM:,
"Finish Nailer, Air",,25,,25,Senco,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=finish+nailer+air+senco&oq=finish+nailer+air+senco&gs_l=psy-ab.3...8186.9649.0.9918.6.6.0.0.0.0.86.446.6.6.0....0...1.1.64.psy-ab..0.1.82...0i24k1.4m-o9gdozsQ&safe=active&ssui=on#imgrc=5EvrhNxx8qcgGM:,
"Roofing Nailer, Air ",,25,,25,Senco,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=roofing+nailer+air+senco&oq=roofing+nailer+air+senco&gs_l=psy-ab.3...22845.24693.0.25283.7.7.0.0.0.0.78.479.7.7.0....0...1.1.64.psy-ab..0.0.0.1_WtUCs3aGY&safe=active&ssui=on#imgrc=515fCJyMJaMAeM:,
"Framing Nailer, Air ",,25,,25,Senco,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=framing+nailer+air+senco&oq=framing+nailer+air+senco&gs_l=psy-ab.3...23539.25279.0.25539.7.7.0.0.0.0.88.513.7.7.0....0...1.1.64.psy-ab..0.0.0.dFSMCnB2M7M&safe=active&ssui=on#imgrc=NzLm66aGAoJ03M:,
"Brad Nailer, Air ",,25,,25,Senco,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Brad+nailer+air+senco&oq=Brad+nailer+air+senco&gs_l=psy-ab.3...21510.22037.0.22217.4.4.0.0.0.0.83.293.4.4.0....0...1.1.64.psy-ab..0.0.0.f4KaqcZoKOk&safe=active&ssui=on#imgrc=Tun_rK_kZBJ7sM:,
"Stapler, Air, 7/16"" W x 2"" L", ,25,,25,Bostich,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=stapler+air+bostich&oq=stapler+air+bostich&gs_l=psy-ab.3..0i8i13i30k1.32712.39908.0.40133.19.19.0.0.0.0.170.1799.15j4.19.0....0...1.1.64.psy-ab..1.8.689...0j0i8i30k1j0i24k1.QuI6kEm9XLo&safe=active&ssui=on#imgrc=PLY-uMBNGk3ZDM:,
"Deck Screw Gun, Electric",,37.5,,37.5,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=deck+screw+gun&oq=deck+screw+gun&gs_l=psy-ab.3..0j0i24k1l3.28125.31482.0.32281.14.14.0.0.0.0.96.1035.14.14.0....0...1.1.64.psy-ab..0.14.1025...0i67k1.mvNCbYoOMiA&safe=active&ssui=on#imgrc=DOTjtPC3GJwGeM:,
"Floor Nailer, Air ",,37.5,,37.5,GripRite,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Floor+Nailer+Air+Grip+Rite&oq=Floor+Nailer+Air+Grip+Rite&gs_l=psy-ab.3...34978.47842.0.48021.26.26.0.0.0.0.98.1939.26.26.0....0...1.1.64.psy-ab..0.14.1050...0j0i67k1j0i5i30k1j0i30k1j0i24k1.MH-O2ktovhM&safe=active&ssui=on#imgrc=EIoVIX3DRrU_3M:,
"Air Spade, 3/4""",3/4 fitting ,45,,45,Bosch Brute,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Air+Spade+3%2F4+&oq=Air+Spade+3%2F4+&gs_l=psy-ab.3...37292.37292.0.37720.1.1.0.0.0.0.75.75.1.1.0....0...1.1.64.psy-ab..0.0.0._ttSPRnXHs8&safe=active&ssui=on#imgrc=VtvGFYdn3OHKSM:,
Asphalt Spade,,15,,15,Bosch Brute,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Asphalt+Spade+&oq=Asphalt+Spade+&gs_l=psy-ab.3...31706.32051.0.32948.3.3.0.0.0.0.80.213.3.3.0....0...1.1.64.psy-ab..0.0.0.s6SyruLcqSw&safe=active&ssui=on#imgrc=9r4rrPol_BHaJM:,
